,0
dummy,4.463444778016107e-10
bedrooms,1.6697987698481475e-09
bathrooms,1.1723165021908419e-09
sqft_living,1.2822644512069046e-06
sqft_lot,7.176480606452114e-06
floors,7.53768817334076e-10
waterfront,1.3630843045394019e-11
view,2.6926262845159714e-10
condition,1.5410063453959145e-09
grade,3.871983449917564e-09
sqft_above,1.080904019923345e-06
sqft_basement,2.013604312835605e-07
yr_built,8.80689840633113e-07
yr_renovated,5.7549474021981624e-08
zipcode,4.3775524415939e-05
lat,2.1252950074745098e-08
long,-5.454863846207203e-08
sqft_living15,1.1182216301079724e-06
sqft_lot15,5.994921477594983e-06
month,2.928768643621134e-09
day,6.92761677040464e-09
year,8.99080288224476e-07
