,0
dummy,-1.5079200044257417e+33
bedrooms,-5.094395039823239e+33
bathrooms,-3.206996361154002e+33
sqft_living,-3.1676250007266505e+36
sqft_lot,-2.9837633314338196e+37
floors,-2.266798917788216e+33
waterfront,-1.1006505252870475e+31
view,-3.583363492064488e+32
condition,-5.1398246520903603e+33
grade,-1.1596656997664506e+34
sqft_above,-2.733878933063033e+36
sqft_basement,-4.337460676636202e+35
yr_built,-2.9726335433280127e+36
yr_renovated,-1.2305742655845516e+35
zipcode,-1.4789291249602993e+38
lat,-7.171415534945883e+34
long,1.842816757535818e+35
sqft_living15,-3.028136195964683e+36
sqft_lot15,-2.3712741760020815e+37
month,-9.935124269538658e+33
day,-2.384275898768406e+34
year,-3.0374315919728186e+36
