,0
dummy,-7.819785469081564e+22
bedrooms,-5.864798206627413e+21
bathrooms,-1.7922107861631142e+22
sqft_living,-1.4445324121387888e+22
sqft_lot,-6.928314862485484e+20
floors,-1.6555252821592065e+22
waterfront,-5.756138303032089e+20
view,-4.724595198926942e+21
condition,-4.7119855299874905e+22
grade,-3.252764977184218e+22
sqft_above,-1.3497927822931411e+22
sqft_basement,-8.427234712839724e+21
yr_built,-4.929173598224684e+22
yr_renovated,-3.0319156856468653e+21
zipcode,-3.0765348842169197e+22
lat,-5.157622420128764e+22
long,-1.979814969567654e+22
sqft_living15,-2.1685809588664267e+22
sqft_lot15,-1.0971099937343962e+21
month,-3.9881909366605325e+22
day,-3.944347819884571e+22
year,-2.5176693276027843e+22
