,0
dummy,-7.902294617775731e+30
bedrooms,-5.926679636650869e+29
bathrooms,-1.8111209962760165e+30
sqft_living,-1.4597741524738624e+30
sqft_lot,-7.001417809294976e+28
floors,-1.6729932782108078e+30
waterfront,-5.81687322640188e+28
view,-4.77444596904605e+29
condition,-4.7617032513077487e+30
grade,-3.287085978731725e+30
sqft_above,-1.3640348933884246e+30
sqft_basement,-8.516153259865493e+29
yr_built,-4.981182942853065e+30
yr_renovated,-3.06390643310845e+29
zipcode,-3.108996423628906e+30
lat,-5.212042204003513e+30
long,-2.000704653609002e+30
sqft_living15,-2.1914623754360217e+30
sqft_lot15,-1.108685964963989e+29
month,-4.0302716613317674e+30
day,-3.9859659412571937e+30
year,-2.5442340911985433e+30
