,0
dummy,-2.0266529198051026
bedrooms,-9.186171954910504
bathrooms,3.33229155711213
sqft_living,7.26277110369855
sqft_lot,2.426655516445862
floors,0.11746774815008723
waterfront,4.711123703918149
view,2.3223084475895113
condition,1.2566480551905699
grade,8.873820739770126
sqft_above,7.725084908704531
sqft_basement,1.3072095707017177
yr_built,-2.936024621700022
yr_renovated,0.28863234111302477
zipcode,-1.0205307242922956
lat,3.76795629629836
long,-2.674078512522589
sqft_living15,1.3357670384407696
sqft_lot15,-2.998624023501315
month,0.18234045740669255
day,-0.17281764477909173
year,0.38105880834129413
